function,taylor
x*cos(x),-x**3/2 + x
23,23
sin(x) + 15,-x**3/6 + x + 15
2*sin(x),x*(6 - x**2)/3
exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
x + exp(2*x),2*x**4/3 + 4*x**3/3 + 2*x**2 + 3*x + 1
exp(x) + 1,x**4/24 + x**3/6 + x**2/2 + x + 2
x*cos(x) + sin(x),2*x*(3 - x**2)/3
-sin(x),x**3/6 - x
x*(sin(x) + 2),x*(-x**3 + 6*x + 12)/6
sin(x) + 4*cos(x),x**4/6 - x**3/6 - 2*x**2 + x + 4
4 - exp(x),-x**4/24 - x**3/6 - x**2/2 - x + 3
x - 5,x - 5
exp(x) + 4,x**4/24 + x**3/6 + x**2/2 + x + 5
exp(x) + 7,x**4/24 + x**3/6 + x**2/2 + x + 8
exp(x) + 16,x**4/24 + x**3/6 + x**2/2 + x + 17
x + 3,x + 3
x + sin(x),x*(12 - x**2)/6
2*x + 1,2*x + 1
cos(x) - 3,x**4/24 - x**2/2 - 2
0,0
exp(x) - sin(x),x**4/24 + x**3/3 + x**2/2 + 1
3*x + 4,3*x + 4
x - exp(x),-x**4/24 - x**3/6 - x**2/2 - 1
5*x*cos(x),5*x*(2 - x**2)/2
2*x*exp(x)*cos(x),2*x*(-x**3 + 3*x + 3)/3
12,12
x - sin(x),x**3/6
exp(x) + sin(x) - 4,x**4/24 + x**2/2 + 2*x - 3
exp(x) - sin(2*x)/2 - cos(x),x**2*(5*x + 6)/6
x + 1,x + 1
10*x + sin(x),x*(66 - x**2)/6
x*(x + 2),x*(x + 2)
x + 2,x + 2
x - sin(x),x**3/6
x + 3,x + 3
-4*x + cos(x),x**4/24 - x**2/2 - 4*x + 1
x*sin(x),-x**4/6 + x**2
x - 5,x - 5
0,0
x*sin(2*x)/2 + 3,-2*x**4/3 + x**2 + 3
-4*x,-4*x
2*x,2*x
2 - 3*cos(x),-x**4/8 + 3*x**2/2 - 1
-4*x + 2*sin(x),x*(-x**2 - 6)/3
-4*x - sin(x),x*(x**2 - 30)/6
exp(x) - cos(x),x*(x**2/6 + x + 1)
x - cos(x),-x**4/24 + x**2/2 + x - 1
(sin(x) - 1)*cos(x),-x**4/24 - 2*x**3/3 + x**2/2 + x - 1
-4,-4
exp(x) - 7,x**4/24 + x**3/6 + x**2/2 + x - 6
8 - x,8 - x
x - sin(x),x**3/6
x + exp(x)*cos(x),-x**4/6 - x**3/3 + 2*x + 1
x - sin(x) + 4,x**3/6 + 4
x + 4,x + 4
x - 5,x - 5
x*exp(x),x*(x**3/6 + x**2/2 + x + 1)
x + exp(x) + 1,x**4/24 + x**3/6 + x**2/2 + 2*x + 2
0,0
x*exp(x)*cos(x) + sin(x),x*(-2*x**3 - x**2 + 6*x + 12)/6
x + 4,x + 4
x**2 + 3,x**2 + 3
x - exp(x) + 6,-x**4/24 - x**3/6 - x**2/2 + 5
4*cos(x),x**4/6 - 2*x**2 + 4
4*x - sin(x),x*(x**2 + 18)/6
x**2*sin(x) + cos(x),x**4/24 + x**3 - x**2/2 + 1
x**2 + cos(x),x**4/24 + x**2/2 + 1
exp(x)*sin(x) + 2,x**3/3 + x**2 + x + 2
7 - x,7 - x
2*x,2*x
x*exp(x) + cos(x),5*x**4/24 + x**3/2 + x**2/2 + x + 1
x**2,x**2
4*sin(x),2*x*(6 - x**2)/3
x*exp(x),x*(x**3/6 + x**2/2 + x + 1)
0,0
x + exp(x) + 1,x**4/24 + x**3/6 + x**2/2 + 2*x + 2
x*(1 - 2*cos(x)),x**3 - x
3*x,3*x
x*sin(x) - 4,-x**4/6 + x**2 - 4
x - 5,x - 5
4 - x,4 - x
x + exp(x),x**4/24 + x**3/6 + x**2/2 + 2*x + 1
x + 2,x + 2
9*x,9*x
x*(sin(x) - 1),x*(-x**3/6 + x - 1)
sin(x) + cos(x),x**4/24 - x**3/6 - x**2/2 + x + 1
-x + exp(x) + sin(x) - 3,x**4/24 + x**2/2 + x - 2
x + 12,x + 12
2 - 2*x,2 - 2*x
x*(x + 1),x*(x + 1)
14,14
x - sin(2*x)/2,2*x**3/3
2*x,2*x
x,x
x*cos(x) - 4,-x**3/2 + x - 4
4*cos(x),x**4/6 - 2*x**2 + 4
(x + exp(x))*sin(x),x*(-x**3 + 2*x**2 + 12*x + 6)/6
0,0
2*x + cos(x),x**4/24 - x**2/2 + 2*x + 1
-x + cos(x) + 3,x**4/24 - x**2/2 - x + 4
2*x - 2*cos(x),-x**4/12 + x**2 + 2*x - 2
exp(x) - sqrt(2)*cos(x + pi/4),x*(x + 2)
2*x,2*x
x*exp(x),x*(x**3/6 + x**2/2 + x + 1)
-4,-4
x*sin(x),-x**4/6 + x**2
x - sin(x) + 4,x**3/6 + 4
3 - cos(x),-x**4/24 + x**2/2 + 2
x**2 + x + cos(x),x**4/24 + x**2/2 + x + 1
-x - exp(x) + 2,-x**4/24 - x**3/6 - x**2/2 - 2*x + 1
x + exp(x) - cos(x),x*(x**2 + 6*x + 12)/6
-3,-3
-2*x + exp(x),x**4/24 + x**3/6 + x**2/2 - x + 1
3*x,3*x
x*sin(x) + cos(x),-x**4/8 + x**2/2 + 1
5,5
-x - 4,-x - 4
-x + sin(x) - 8,-x**3/6 - 8
sin(x) + 2,-x**3/6 + x + 2
x - 2,x - 2
-x + 2*sin(x) + 1,-x**3/3 + x + 1
1 - x,1 - x
x - cos(x) + 4,-x**4/24 + x**2/2 + x + 3
-x + sin(x),-x**3/6
x + 2*cos(x),x**4/12 - x**2 + x + 2
0,0
2*x - sin(x) + 1,x**3/6 + x + 1
-x + 6*cos(x),x**4/4 - 3*x**2 - x + 6
x*cos(x) + exp(x) + 4,x**4/24 - x**3/3 + x**2/2 + 2*x + 5
4,4
x*(2 - sin(x)),x*(x**3 - 6*x + 12)/6
-x + cos(x) + 5,x**4/24 - x**2/2 - x + 6
x + exp(x) - 3,x**4/24 + x**3/6 + x**2/2 + 2*x - 2
sin(x) + 5*cos(x) + 3,5*x**4/24 - x**3/6 - 5*x**2/2 + x + 8
x + 3*exp(x) - 3,x*(x**3 + 4*x**2 + 12*x + 32)/8
2*x + exp(x),x**4/24 + x**3/6 + x**2/2 + 3*x + 1
6,6
0,0
x + sin(x),x*(12 - x**2)/6
-1,-1
x**2 + x + exp(x),x**4/24 + x**3/6 + 3*x**2/2 + 2*x + 1
3*x**2,3*x**2
5 - cos(x),-x**4/24 + x**2/2 + 4
exp(x) + sin(x),x**4/24 + x**2/2 + 2*x + 1
x - cos(x),-x**4/24 + x**2/2 + x - 1
x + sin(x)*cos(x)**2,x*(12 - 7*x**2)/6
-4*x + cos(x),x**4/24 - x**2/2 - 4*x + 1
x*(x + sin(x)),x**2*(12 - x**2)/6
x**3,x**3
5 - 3*sin(x),x**3/2 - 3*x + 5
-x**3 + cos(x),x**4/24 - x**3 - x**2/2 + 1
x*sin(x) + 9,-x**4/6 + x**2 + 9
2*x + 2,2*x + 2
sin(x) - 5,-x**3/6 + x - 5
5*x,5*x
0,0
1 - cos(x),x**2*(12 - x**2)/24
2*x + sin(x) + 5,-x**3/6 + 3*x + 5
3*x,3*x
x + cos(x)**2 + cos(x),3*x**4/8 - 3*x**2/2 + x + 2
2*cos(x) - 3,x**4/12 - x**2 - 1
5*x,5*x
x**2,x**2
-19*x,-19*x
x + cos(x) + 3,x**4/24 - x**2/2 + x + 4
x*exp(x),x*(x**3/6 + x**2/2 + x + 1)
-4,-4
5 - x,5 - x
x + 5,x + 5
3*x + 5,3*x + 5
0,0
-x + sin(x),-x**3/6
x,x
sin(x) - 13,-x**3/6 + x - 13
8,8
x - 12*cos(x),-x**4/2 + 6*x**2 + x - 12
5*x,5*x
8,8
x*(2 - sin(x)),x*(x**3 - 6*x + 12)/6
x**2 - x + 1,x**2 - x + 1
-x + cos(x) + 4,x**4/24 - x**2/2 - x + 5
3*x,3*x
10*x,10*x
20*x,20*x
2*x + cos(x),x**4/24 - x**2/2 + 2*x + 1
4*x + 1,4*x + 1
-x + sin(x),-x**3/6
x*sin(x) + 4,-x**4/6 + x**2 + 4
5*x + 2*sin(x),x*(21 - x**2)/3
exp(2*x) - cos(x),x*(15*x**3 + 32*x**2 + 60*x + 48)/24
x**2,x**2
13,13
8,8
0,0
-3*exp(x) + cos(x),-x**4/12 - x**3/2 - 2*x**2 - 3*x - 2
-x + sin(x),-x**3/6
x**2 + sin(x) - 1,-x**3/6 + x**2 + x - 1
-x + sin(x) - sin(2*x)/2,x**3/2 - x
-4*exp(x) + sin(x) + 5,-x**4/6 - 5*x**3/6 - 2*x**2 - 3*x + 1
2*x + 7,2*x + 7
3*x,3*x
exp(x) - 3*cos(x),-x**4/12 + x**3/6 + 2*x**2 + x - 2
5*x,5*x
4 - x,4 - x
-5,-5
x + cos(x),x**4/24 - x**2/2 + x + 1
0,0
x - 3,x - 3
6 - exp(x),-x**4/24 - x**3/6 - x**2/2 - x + 5
-3,-3
8,8
4 - cos(x),-x**4/24 + x**2/2 + 3
x - exp(x),-x**4/24 - x**3/6 - x**2/2 - 1
1 - cos(x),x**2*(12 - x**2)/24
5*x**2,5*x**2
2*x + 1,2*x + 1
5 - cos(x),-x**4/24 + x**2/2 + 4
-3*x + sin(x),x*(-x**2 - 12)/6
-x + 5*exp(x),5*x**4/24 + 5*x**3/6 + 5*x**2/2 + 4*x + 5
x + exp(x) - 4,x**4/24 + x**3/6 + x**2/2 + 2*x - 3
-x*cos(x) + x - 5,x**3/2 - 5
4*sin(x) + 2,-2*x**3/3 + 4*x + 2
3 - 2*x,3 - 2*x
6*x,6*x
0,0
x + 5,x + 5
x + sin(x) + 1,-x**3/6 + 2*x + 1
2 - x,2 - x
-x + 5*exp(x) + cos(x),x**4/4 + 5*x**3/6 + 2*x**2 + 4*x + 6
x*cos(x) + sqrt(2)*sin(x + pi/4),x**4/24 - 2*x**3/3 - x**2/2 + 2*x + 1
x + 2*sin(x) - 4,-x**3/3 + 3*x - 4
6*sin(x),x*(6 - x**2)
3*x - 3,3*x - 3
exp(x)*sin(x) + 4,x**3/3 + x**2 + x + 4
sin(x) + cos(x),x**4/24 - x**3/6 - x**2/2 + x + 1
5 - x,5 - x
2*x + 8,2*x + 8
2*x + exp(x) - 1,x*(x**3 + 4*x**2 + 12*x + 72)/24
x + 2*cos(x),x**4/12 - x**2 + x + 2
x,x
x + 3*cos(x),x**4/8 - 3*x**2/2 + x + 3
2*x + 5,2*x + 5
3*x,3*x
2*x - 1,2*x - 1
6,6
exp(x) + 5,x**4/24 + x**3/6 + x**2/2 + x + 6
sin(x) + 4,-x**3/6 + x + 4
3 - x,3 - x
4*sin(x),2*x*(6 - x**2)/3
x,x
0,0
2*x + 15,2*x + 15
5*x*cos(x),5*x*(2 - x**2)/2
1 - sin(x),x**3/6 - x + 1
x + sin(x),x*(12 - x**2)/6
x + exp(x),x**4/24 + x**3/6 + x**2/2 + 2*x + 1
3*x + 3,3*x + 3
x + sin(x) + 1,-x**3/6 + 2*x + 1
x + cos(x),x**4/24 - x**2/2 + x + 1
x*(1 - cos(x)),x**3/2
-exp(x) + sin(x),-x**4/24 - x**3/3 - x**2/2 - 1
3*x**2,3*x**2
2*x,2*x
4*x,4*x
-x - exp(x),-x**4/24 - x**3/6 - x**2/2 - 2*x - 1
x + exp(x),x**4/24 + x**3/6 + x**2/2 + 2*x + 1
x*(1 - 4*x),x*(1 - 4*x)
5*x,5*x
-x + cos(x) + 4,x**4/24 - x**2/2 - x + 5
cos(x),x**4/24 - x**2/2 + 1
x + sin(x) - 7,-x**3/6 + 2*x - 7
sin(x) + 4,-x**3/6 + x + 4
x*sin(x) - x - 3,-x**4/6 + x**2 - x - 3
3*x*sin(x) + 3,-x**4/2 + 3*x**2 + 3
x*cos(x) - x + 3,3 - x**3/2
-5*x*exp(x) + 2,-5*x**4/6 - 5*x**3/2 - 5*x**2 - 5*x + 2
x*sin(2*x)/2,-2*x**4/3 + x**2
exp(x)*cos(x) + cos(x) - 2,x*(-x**3/8 - x**2/3 - x/2 + 1)
5*x + exp(x) + 1,x**4/24 + x**3/6 + x**2/2 + 6*x + 2
5*exp(x),5*x**4/24 + 5*x**3/6 + 5*x**2/2 + 5*x + 5
sin(x) + 5,-x**3/6 + x + 5
x**2,x**2
-sin(x) - 5,x**3/6 - x - 5
x - exp(x) + 3*sin(x),-x**4/24 - 2*x**3/3 - x**2/2 + 3*x - 1
x*cos(x)**2,-x**3 + x
2*x,2*x
x - sin(x) + 5,x**3/6 + 5
x*sin(x) + exp(x),-x**4/8 + x**3/6 + 3*x**2/2 + x + 1
5 - exp(x),-x**4/24 - x**3/6 - x**2/2 - x + 4
-x - cos(x) + 4,-x**4/24 + x**2/2 - x + 3
exp(x) + 3,x**4/24 + x**3/6 + x**2/2 + x + 4
2*x + 8,2*x + 8
-sin(x) + cos(x),x**4/24 + x**3/6 - x**2/2 - x + 1
exp(x) + cos(x) + 3,x**4/12 + x**3/6 + x + 5
2*cos(x),x**4/12 - x**2 + 2
x*(exp(x) + 1),x*(x**3 + 3*x**2 + 6*x + 12)/6
3*x*sin(x),x**2*(6 - x**2)/2
x*sin(x) + exp(x),-x**4/8 + x**3/6 + 3*x**2/2 + x + 1
x + 4,x + 4
(1 - sin(x))*cos(x),x**4/24 + 2*x**3/3 - x**2/2 - x + 1
4 - exp(x),-x**4/24 - x**3/6 - x**2/2 - x + 3
x*exp(x),x*(x**3/6 + x**2/2 + x + 1)
x,x
2*x,2*x
15*x + cos(x),x**4/24 - x**2/2 + 15*x + 1
-x + 4*sin(x) + 2,-2*x**3/3 + 3*x + 2
x**2,x**2
-x**2*exp(x) + sin(x),x*(-x**3/2 - 7*x**2/6 - x + 1)
x + sin(x) + 5,-x**3/6 + 2*x + 5
5*x,5*x
x,x
x + exp(x),x**4/24 + x**3/6 + x**2/2 + 2*x + 1
x + 2*cos(x),x**4/12 - x**2 + x + 2
x*(exp(x) + 1),x*(x**3 + 3*x**2 + 6*x + 12)/6
2,2
2*x + 12,2*x + 12
x + 3,x + 3
-x + sin(x) + 1,1 - x**3/6
exp(x) + 5,x**4/24 + x**3/6 + x**2/2 + x + 6
-x**2 + x - 3,-x**2 + x - 3
4,4
x + exp(x) + 2,x**4/24 + x**3/6 + x**2/2 + 2*x + 3
x + cos(x),x**4/24 - x**2/2 + x + 1
9,9
-3*x + exp(x),x**4/24 + x**3/6 + x**2/2 - 2*x + 1
-x - cos(x) + 4,-x**4/24 + x**2/2 - x + 3
2*x + 5*cos(x),5*x**4/24 - 5*x**2/2 + 2*x + 5
4*exp(x),x**4/6 + 2*x**3/3 + 2*x**2 + 4*x + 4
x + 2*exp(x),x**4/12 + x**3/3 + x**2 + 3*x + 2
x*sin(x),-x**4/6 + x**2
2*x + 4,2*x + 4
2*x,2*x
-x + 2*sin(x),-x**3/3 + x
2 - cos(x),-x**4/24 + x**2/2 + 1
0,0
2*x - 4,2*x - 4
2*sin(x) + 5,-x**3/3 + 2*x + 5
-x + exp(x) - sin(x) + 5,x**4/24 + x**3/3 + x**2/2 - x + 6
cos(x) + 5,x**4/24 - x**2/2 + 6
-exp(x)*cos(x) + sqrt(2)*sin(x + pi/4),x**2*(5*x**2 + 4*x - 12)/24
x + cos(x) + 4,x**4/24 - x**2/2 + x + 5
x**2*sin(x) - exp(x),-x**4/24 + 5*x**3/6 - x**2/2 - x - 1
x - 5,x - 5
4 - sin(x),x**3/6 - x + 4
2*x,2*x
x - cos(x),-x**4/24 + x**2/2 + x - 1
x - exp(x) + 4*sin(x),-x**4/24 - 5*x**3/6 - x**2/2 + 4*x - 1
2*x - 3*cos(x),-x**4/8 + 3*x**2/2 + 2*x - 3
(x + 1)*cos(x),x**4/24 - x**3/2 - x**2/2 + x + 1
-x + sin(x) + cos(x),x**4/24 - x**3/6 - x**2/2 + 1
3*x + exp(x) - 3,x**4/24 + x**3/6 + x**2/2 + 4*x - 2
x - exp(x) - cos(x),-x**4/12 - x**3/6 - 2
4*x - sqrt(2)*sin(x + pi/4),-x**4/24 + x**3/6 + x**2/2 + 3*x - 1
exp(x) + 5,x**4/24 + x**3/6 + x**2/2 + x + 6
x + sin(x) + cos(x),x**4/24 - x**3/6 - x**2/2 + 2*x + 1
2*sin(x) + cos(x) + 4,x**4/24 - x**3/3 - x**2/2 + 2*x + 5
5*x,5*x
x - sin(x),x**3/6
x*(exp(x) + 1),x*(x**3 + 3*x**2 + 6*x + 12)/6
sin(x),-x**3/6 + x
x + 3*sin(x),x*(8 - x**2)/2
exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
4*x,4*x
4*x**2,4*x**2
5*x**2*sin(x),5*x**3
x*(x - 1),x*(x - 1)
x + 4,x + 4
2*cos(x),x**4/12 - x**2 + 2
5*x**2,5*x**2
0,0
x - 4,x - 4
exp(x) + sin(x)**2,-7*x**4/24 + x**3/6 + 3*x**2/2 + x + 1
-exp(2*x) + cos(x) + 5,-5*x**4/8 - 4*x**3/3 - 5*x**2/2 - 2*x + 5
x + 2,x + 2
5 - x,5 - x
-x**2 + exp(x) + 5,x**4/24 + x**3/6 - x**2/2 + x + 6
x**2 - exp(x),-x**4/24 - x**3/6 + x**2/2 - x - 1
x**2*exp(x) - cos(x),11*x**4/24 + x**3 + 3*x**2/2 - 1
x - exp(x),-x**4/24 - x**3/6 - x**2/2 - 1
10,10
sin(x) - 1,-x**3/6 + x - 1
-exp(x) + sin(x)**2 - 1,-3*x**4/8 - x**3/6 + x**2/2 - x - 2
8*x*exp(x),4*x*(x**3 + 3*x**2 + 6*x + 6)/3
sin(2*x)/2,-2*x**3/3 + x
-cos(x) - 3,-x**4/24 + x**2/2 - 4
x + exp(x) - cos(x) + 5,x**3/6 + x**2 + 2*x + 5
x,x
cos(x) + 3,x**4/24 - x**2/2 + 4
x + exp(x)*sin(x) + sin(x),x*(x**2 + 6*x + 18)/6
3 - x,3 - x
5,5
5*exp(x),5*x**4/24 + 5*x**3/6 + 5*x**2/2 + 5*x + 5
x*(x - 1),x*(x - 1)
-x,-x
-15,-15
cos(x) + 4,x**4/24 - x**2/2 + 5
x - exp(x) + 4,-x**4/24 - x**3/6 - x**2/2 + 3
-x - exp(x) + 9,-x**4/24 - x**3/6 - x**2/2 - 2*x + 8
5,5
x*cos(x),-x**3/2 + x
x + 7,x + 7
x*exp(x) + 5,x**4/6 + x**3/2 + x**2 + x + 5
x + exp(x) - 4,x**4/24 + x**3/6 + x**2/2 + 2*x - 3
sin(x) + cos(x),x**4/24 - x**3/6 - x**2/2 + x + 1
4*x,4*x
3*x,3*x
2*x + sin(x) - 4,-x**3/6 + 3*x - 4
x + sqrt(2)*cos(x + pi/4) - 3,x**4/24 + x**3/6 - x**2/2 - 2
x*(-x*exp(x) + 1),x*(-x**3/2 - x**2 - x + 1)
x + 2*sin(x) + 3,-x**3/3 + 3*x + 3
5*cos(x) - 1,5*x**4/24 - 5*x**2/2 + 4
x - 5,x - 5
x - 2*sin(x) + 3,x**3/3 - x + 3
-x - sin(2*x)/2 + 4,2*x**3/3 - 2*x + 4
x**2,x**2
-x - exp(x) + 1,x*(-x**3 - 4*x**2 - 12*x - 48)/24
x*(sin(x) + 1),x*(-x**3/6 + x + 1)
cos(x),x**4/24 - x**2/2 + 1
x**2,x**2
-x + cos(x) - 1,x*(x**3 - 12*x - 24)/24
x + exp(x) + 4*cos(x),5*x**4/24 + x**3/6 - 3*x**2/2 + 2*x + 5
x*cos(x) - 5,-x**3/2 + x - 5
x*sin(x)**2,x**3
-x*exp(x) + x - exp(x),-5*x**4/24 - 2*x**3/3 - 3*x**2/2 - x - 1
4 - 4*x,4 - 4*x
x,x
x + exp(x) + sin(x),x**4/24 + x**2/2 + 3*x + 1
x + cos(x),x**4/24 - x**2/2 + x + 1
x**2 - 4,x**2 - 4
4*x**2 - 5,4*x**2 - 5
3*x,3*x
3*x,3*x
x*exp(x)*cos(x) - 1,-x**4/3 + x**2 + x - 1
-3*x,-3*x
-2*x,-2*x
-x - 2,-x - 2
x*exp(x) + 2*sin(x),x*(x**3 + x**2 + 6*x + 18)/6
-x + exp(x) + 5,x**4/24 + x**3/6 + x**2/2 + 6
exp(x) + 3,x**4/24 + x**3/6 + x**2/2 + x + 4
x + sin(x),x*(12 - x**2)/6
0,0
x*sin(x) + x - sin(x),x**2*(-x**2 + x + 6)/6
-x + 5*cos(x),5*x**4/24 - 5*x**2/2 - x + 5
x - exp(x) - sin(x) + 2,-x**4/24 - x**2/2 - x + 1
x - sin(x) + 5,x**3/6 + 5
-x + exp(x) - 8,x**4/24 + x**3/6 + x**2/2 - 7
x + 5,x + 5
x*cos(x) + 1,-x**3/2 + x + 1
(x**2 + 1)*exp(x),13*x**4/24 + 7*x**3/6 + 3*x**2/2 + x + 1
x + 4,x + 4
cos(x) + 5,x**4/24 - x**2/2 + 6
x**2,x**2
x*exp(x) - 3,x**4/6 + x**3/2 + x**2 + x - 3
4*x,4*x
-3,-3
x - sin(2*x)/2,2*x**3/3
(x**2 - 1)*cos(x),-13*x**4/24 + 3*x**2/2 - 1
cos(x)**2,x**4/3 - x**2 + 1
x + sin(x),x*(12 - x**2)/6
x,x
x + cos(x),x**4/24 - x**2/2 + x + 1
x*(cos(x) + 1),x*(4 - x**2)/2
1 - 2*x,1 - 2*x
x - 2*exp(x) - 1,-x**4/12 - x**3/3 - x**2 - x - 3
x + 2*sin(x),x*(9 - x**2)/3
x**2 - cos(x),-x**4/24 + 3*x**2/2 - 1
-x + exp(x) - sin(x) + 5,x**4/24 + x**3/3 + x**2/2 - x + 6
x - sin(x) - 7,x**3/6 - 7
2*x,2*x
x**2,x**2
x + cos(x),x**4/24 - x**2/2 + x + 1
4,4
x + 4,x + 4
x + exp(x) + 2,x**4/24 + x**3/6 + x**2/2 + 2*x + 3
x*sin(x),-x**4/6 + x**2
4*x + 5,4*x + 5
6*exp(x),x**4/4 + x**3 + 3*x**2 + 6*x + 6
x + exp(x) - cos(x) - 5,x**3/6 + x**2 + 2*x - 5
x + 2,x + 2
2*x,2*x
x - cos(x) - 8,-x**4/24 + x**2/2 + x - 9
-x + cos(x) - 5,x**4/24 - x**2/2 - x - 4
-x - exp(x) + 3,-x**4/24 - x**3/6 - x**2/2 - 2*x + 2
cos(x),x**4/24 - x**2/2 + 1
sin(x) - 1,-x**3/6 + x - 1
x**2 - 3,x**2 - 3
x*(exp(x) + 1),x*(x**3 + 3*x**2 + 6*x + 12)/6
exp(x) + sin(x) + 5,x**4/24 + x**2/2 + 2*x + 6
-x + exp(x),x**4/24 + x**3/6 + x**2/2 + 1
x*cos(x),-x**3/2 + x
x*cos(x),-x**3/2 + x
x - sin(x) + 4,x**3/6 + 4
10,10
10*cos(x) + 3,5*x**4/12 - 5*x**2 + 13
sin(x) + 1,-x**3/6 + x + 1
2*x + cos(x) - 3,x**4/24 - x**2/2 + 2*x - 2
5 - cos(x),-x**4/24 + x**2/2 + 4
3*x,3*x
-exp(x) - cos(x) + 6,-x**4/12 - x**3/6 - x + 4
x*cos(x),-x**3/2 + x
2*x + 3,2*x + 3
2*x,2*x
x + sin(x),x*(12 - x**2)/6
2*x - sin(x),x**3/6 + x
5 - x,5 - x
-x,-x
5*sin(x),5*x*(6 - x**2)/6
x - sin(x),x**3/6
-x + exp(x)*sin(x) - sin(x),x*(x**2/2 + x - 1)
2*x + exp(x),x**4/24 + x**3/6 + x**2/2 + 3*x + 1
x*cos(x) + x - exp(x),-x**4/24 - 2*x**3/3 - x**2/2 + x - 1
x + 3,x + 3
-x*exp(x) + cos(x),-x**4/8 - x**3/2 - 3*x**2/2 - x + 1
x*exp(x),x*(x**3/6 + x**2/2 + x + 1)
x - cos(x),-x**4/24 + x**2/2 + x - 1
-x + sin(x),-x**3/6
12,12
x**2 + 5,x**2 + 5
2*x + 4*exp(x),x**4/6 + 2*x**3/3 + 2*x**2 + 6*x + 4
4*x,4*x
1,1
3 - exp(x),-x**4/24 - x**3/6 - x**2/2 - x + 2
-2*x**2 + exp(x),x**4/24 + x**3/6 - 3*x**2/2 + x + 1
x + 3,x + 3
x - 6,x - 6
x + cos(x),x**4/24 - x**2/2 + x + 1
x*sin(x) + x + 3,-x**4/6 + x**2 + x + 3
-exp(x) + sqrt(2)*sin(x + pi/4),x**2*(-x - 3)/3
7 - x,7 - x
3 - 2*cos(x),-x**4/12 + x**2 + 1
0,0
-x + sin(x),-x**3/6
2*cos(x) + 20,x**4/12 - x**2 + 22
4*x + sin(x),x*(30 - x**2)/6
5*exp(x)*sin(x),5*x*(x**2 + 3*x + 3)/3
x + exp(x),x**4/24 + x**3/6 + x**2/2 + 2*x + 1
-x - sin(x) + 6,x**3/6 - 2*x + 6
-x + cos(x),x**4/24 - x**2/2 - x + 1
-x + cos(x)**2 + 4,x**4/3 - x**2 - x + 5
x - cos(x),-x**4/24 + x**2/2 + x - 1
sin(x) - cos(x),-x**4/24 - x**3/6 + x**2/2 + x - 1
-exp(x) + sin(x),-x**4/24 - x**3/3 - x**2/2 - 1
sin(2*x)/2,-2*x**3/3 + x
2*x,2*x
sin(x) + cos(x),x**4/24 - x**3/6 - x**2/2 + x + 1
(sin(x) + 1)*cos(x),x**4/24 - 2*x**3/3 - x**2/2 + x + 1
4*exp(x) - sin(x),x**4/6 + 5*x**3/6 + 2*x**2 + 3*x + 4
x + cos(x),x**4/24 - x**2/2 + x + 1
4 - 2*x,4 - 2*x
x**2 - x + 3,x**2 - x + 3
0,0
4 - exp(x),-x**4/24 - x**3/6 - x**2/2 - x + 3
-1,-1
x**3*sin(x),x**4
exp(x) - sin(x),x**4/24 + x**3/3 + x**2/2 + 1
x*exp(x) + 9,x**4/6 + x**3/2 + x**2 + x + 9
x,x
2*x - sin(x),x**3/6 + x
2*exp(x) + sin(x) - 2,x*(x**3 + 2*x**2 + 12*x + 36)/12
exp(x) + cos(x),x**4/12 + x**3/6 + x + 2
3*x - 4,3*x - 4
sin(x) + 1,-x**3/6 + x + 1
2*x,2*x
x*(1 - sin(x)),x*(x**3/6 - x + 1)
x + sin(x),x*(12 - x**2)/6
-x + exp(x) + sin(x) + 2,x**4/24 + x**2/2 + x + 3
x**2 + 3,x**2 + 3
-x - sin(x) + 2,x**3/6 - 2*x + 2
-2*x + 5*sin(x),x*(18 - 5*x**2)/6
exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
5*x**2 + exp(x),x**4/24 + x**3/6 + 11*x**2/2 + x + 1
x**2,x**2
x + sin(x) - 4,-x**3/6 + 2*x - 4
x + 2*cos(x),x**4/12 - x**2 + x + 2
exp(x)*sin(x) - cos(x),-x**4/24 + x**3/3 + 3*x**2/2 + x - 1
cos(x),x**4/24 - x**2/2 + 1
x*cos(x) + sin(x) - 3,-2*x**3/3 + 2*x - 3
sin(x) + 4,-x**3/6 + x + 4
cos(x),x**4/24 - x**2/2 + 1
-x - 3*cos(x) + 2,-x**4/8 + 3*x**2/2 - x - 1
x + 3,x + 3
x + sqrt(2)*cos(x + pi/4) - 3,x**4/24 + x**3/6 - x**2/2 - 2
4,4
x*(x - 4),x*(x - 4)
3*cos(x)**2,x**4 - 3*x**2 + 3
-x + sin(x),-x**3/6
sin(x) - cos(x),-x**4/24 - x**3/6 + x**2/2 + x - 1
sin(x) - 4,-x**3/6 + x - 4
x + 2,x + 2
x*exp(x),x*(x**3/6 + x**2/2 + x + 1)
-x + 2*sin(x) - cos(x),-x**4/24 - x**3/3 + x**2/2 + x - 1
exp(x) + sin(x) - 4,x**4/24 + x**2/2 + 2*x - 3
-2*x + sin(x) - 5,-x**3/6 - x - 5
x - 3*sin(x),x*(x**2 - 4)/2
9,9
x + cos(x) + 4,x**4/24 - x**2/2 + x + 5
exp(x) + sin(x) + 4,x**4/24 + x**2/2 + 2*x + 5
x + cos(x) + 2,x**4/24 - x**2/2 + x + 3
